############################## Ce: 5e-6 ########################
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 1000 eV-----grid 1-------#
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 44.808 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 45.027 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 45.033 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - #------------Processing 30 files------------#

2026-03-27 08:00 - ml4cascades.lammps.process - INFO - #------------Final defect analysis, PKA_kin_eng: 15000 eV, grid 1------------#
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 49.887 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 49.948 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 49.885 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 50.078 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 49.803 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 49.935 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 49.985 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 49.818 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 50.03 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 50.049 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 49.808 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 49.987 ps.
2026-03-27 08:00 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 49.991 ps.
