2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 44.824 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 44.832 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 44.861 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 45.069 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 45.065 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 44.941 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 44.878 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 44.929 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 45.032 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 44.84 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 45.063 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 45.061 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 44.816 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 45.007 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 44.836 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - #------------Processing 30 files------------#

2026-03-27 08:06 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 15000 eV-----ecut 1eV-------#
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 44.995 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 44.855 ps.
